rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,twi,scs_runoff_mm,scs_runoff_ratio,fhi,hand_m,soil_saturation_theta,cn_effective,amc_class,imd_24h_class,rational_Q_m3s,risk_level
8.447,124.194,22.38,45.14,0.718,922.97,6.034,0.416,0.227974,29366.0,5.909908,2.0501,0.242709,0.34898,8.0905,0.227974,95.5270847381434,AMC-III,light,0.0436,1
3.612,19.041,31.48,69.11,6.786,935.41,0.451,0.1011,0.038893,9325.0,7.885992,0.0,0.0,0.31411,58.298,0.038893,55.511379832865735,AMC-I,dry,0.0264,1
4.009,38.762,29.17,46.08,0.807,902.11,8.921,0.1983,0.077579,34838.0,5.60287,0.0,0.0,0.273163,3.4054,0.077579,71.29975254791762,AMC-I,dry,0.003,1
0.63,62.319,22.68,78.06,4.483,960.0,0.613,0.4199,0.121756,45581.0,8.630407,0.0,0.0,0.303607,72.3819,0.121756,92.0,AMC-II,dry,0.0039,1
1.668,9.962,22.95,52.64,21.175,875.42,1.324,0.5444,0.020541,26877.0,7.008224,0.0,0.0,0.377714,2.8725,0.020541,71.29975254791762,AMC-I,dry,0.0064,1
0.1,42.814,31.86,82.39,17.703,909.82,0.369,0.3183,0.085333,48196.0,9.678693,0.0,0.0,0.41498,37.1626,0.085333,83.44822581815542,AMC-I,dry,0.0008,1
6.705,48.608,33.09,65.69,1.528,922.41,3.747,0.1977,0.096308,5000.0,5.712009,0.0,0.0,0.2931,12.2761,0.096308,55.511379832865735,AMC-I,dry,0.011,1
0.463,4.078,33.02,76.37,4.529,937.59,0.86,0.3486,0.008461,43925.0,8.613096,0.0,0.0,0.328981,46.4532,0.008461,76.27500606733003,AMC-I,dry,0.0024,1
6.159,45.557,31.26,91.64,19.536,943.95,0.619,0.2021,0.090545,26575.0,8.286019,0.0,0.0,0.314479,59.2346,0.090545,71.29975254791762,AMC-I,dry,0.0382,1
4.656,42.708,26.7,90.95,0.084,870.0,0.754,0.2737,0.085131,33007.0,7.681017,0.0,0.0,0.413132,0.0,0.085131,71.29975254791762,AMC-I,dry,0.0258,1
13.166,84.812,28.4,54.56,4.023,873.16,0.113,0.1246,0.161961,32692.0,9.38375,5.1308,0.389698,0.544008,3.1619,0.161961,95.5270847381434,AMC-III,light,1.1639,2
2.818,36.348,30.16,50.73,13.382,895.62,3.908,0.255,0.072928,51708.0,7.00964,0.0,0.0,0.342356,5.7831,0.072928,83.44822581815542,AMC-I,dry,0.0044,1
1.703,51.808,37.89,36.08,8.612,936.84,0.77,0.0995,0.102313,25601.0,8.030455,0.0,0.0,0.30381,48.5856,0.102313,85.0,AMC-II,dry,0.0093,1
46.551,222.871,26.73,77.9,20.394,949.1,0.831,0.775,0.371434,49289.0,8.836321,43.4429,0.933223,0.582712,55.3664,0.371434,98.94175341994321,AMC-III,moderate,4.5381,2
23.3,208.116,31.9,40.47,2.116,945.43,6.865,0.3869,0.351812,55000.0,6.307965,20.3301,0.872521,0.457048,10.2248,0.351812,98.94175341994321,AMC-III,light,0.3837,2
18.998,114.728,31.11,50.42,4.724,934.25,5.676,0.5625,0.212599,36750.0,6.187232,12.0607,0.634842,0.417312,10.3786,0.212599,97.02743230131428,AMC-III,light,0.2714,1
5.547,45.147,33.33,76.02,19.006,909.01,2.095,0.0917,0.089768,22149.0,6.860991,0.0,0.0,0.327164,14.805,0.089768,55.511379832865735,AMC-I,dry,0.0149,1
